"Sync Date Range","Sync Date Range"
From,From
To,To
"Transaction sync is now enabled.","Transaction sync is now enabled."
"Taxdoo Authentication failed.","Taxdoo Authentication failed."
"Your Taxdoo API token is invalid. Please review your Taxdoo account at %1.","Your Taxdoo API token is invalid. Please review your Taxdoo account at %1."
"Not found -- Your request path is wrong","Not found -- Your request path is wrong"
"Bad request","Bad request"
"Too many requests. Are you trying DOS or not respecting Taxdoo's Rate Limits","Too many requests. Are you trying DOS or not respecting Taxdoo's Rate Limits"
"Internal Server Error. Get in touch with Taxdoo","Internal Server Error. Get in touch with Taxdoo"
"Service unavailable. Please try again later","Service unavailable. Please try again later"
"Could not connect to Taxdoo.","Could not connect to Taxdoo."
"Could not write to your Magento log directory under /var/log. Please make sure the directory is created and check permissions for %1.","Could not write to your Magento log directory under /var/log. Please make sure the directory is created and check permissions for %1."
"Your API Token wasn't accepted by Taxdoo. Transactions and returns won't be synchronized.","Your API Token wasn't accepted by Taxdoo. Transactions and returns won't be synchronized."
"Your origin shipping address is partially or completely missing, your orders will not synchronize with Taxdoo. Please <a href="""" . . """">check the configuration</a>","Your origin shipping address is partially or completely missing, your orders will not synchronize with Taxdoo. Please <a href="""" . . """">check the configuration</a>"
"The Taxdoo Sandbox mode is active. Orders and refunds are not being synchronized with your production data. To deactivate sandbox mode modify the <a href="""" . . """">Taxdoo configuration</a>.","The Taxdoo Sandbox mode is active. Orders and refunds are not being synchronized with your production data. To deactivate sandbox mode modify the <a href="""" . . """">Taxdoo configuration</a>."
"Could not sync transactions with Taxdoo. Please make sure you have an API key.","Could not sync transactions with Taxdoo. Please make sure you have an API key."
"To date can't be earlier than from date.","To date can't be earlier than from date."
"Order successfully synced to Taxdoo.","Order successfully synced to Taxdoo."
"This order was not synced to Taxdoo.","This order was not synced to Taxdoo."
"Taxdoo seems to have accepted your API Token. Does your Taxdoo email look like this? ","Taxdoo seems to have accepted your API Token. Does your Taxdoo email look like this? "
"The Taxdoo API Token seems to be wrong. You can find the correct one in the ","The Taxdoo API Token seems to be wrong. You can find the correct one in the "
"Taxdoo Dashboard","Taxdoo Dashboard"
". ' account'",". ' account'"
". ' ' .",". ' ' ."
"Sandbox mode is enabled. We recommend only using this mode in a staging environment. Some features may not work as expected.","Sandbox mode is enabled. We recommend only using this mode in a staging environment. Some features may not work as expected."
"Learn more","Learn more"
"Order Synced to Taxdoo","Order Synced to Taxdoo"
"Credit Memo Synced to Taxdoo","Credit Memo Synced to Taxdoo"
"Synced to Taxdoo (or sandbox)","Synced to Taxdoo (or sandbox)"
"Sync Transactions","Sync Transactions"
"Sync to Taxdoo","Sync to Taxdoo"
"Taxdoo VAT Automation","Taxdoo VAT Automation"
"Enable the Taxdoo Module","Enable the Taxdoo Module"
"API Token","API Token"
"Enable Sandbox","Enable Sandbox"
"Transaction Sync","Transaction Sync"
